PeakID (cmd=annotatePeaks.pl hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
rs1861270	chr2	202126616	202126615	+	0	NA	intron (NM_033356, intron 1 of 7)	intron (NM_033356, intron 1 of 7)	1356	NM_033356	841	Hs.599762	NM_001228	ENSG00000064012	CASP8	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	caspase 8	protein-coding
rs77121786	chr12	102446676	102446675	+	0	NA	intron (NM_016053, intron 2 of 6)	L1MA8|LINE|L1	9094	NM_016053	51019	Hs.405692	NM_016053	ENSG00000120860	WASHC3	CCDC53|CGI-116	WASH complex subunit 3	protein-coding
rs9655205	chr7	20999212	20999211	+	0	NA	intron (NR_126381, intron 2 of 4)	intron (NR_126381, intron 2 of 4)	124161	NR_126381	104355138	Hs.650722	NR_126381	ENSG00000232790	LINC01162	-	long intergenic non-protein coding RNA 1162	ncRNA
rs148511027	chr17	69117533	69117532	+	0	NA	intron (NR_104152, intron 3 of 3)	intron (NR_104152, intron 3 of 3)	80788	NR_104152	101928165	Hs.407613	NR_104152	ENSG00000260785	CASC17	LINC00600	cancer susceptibility 17	ncRNA
rs16854905	chr2	169012956	169012955	+	0	NA	intron (NM_013233, intron 5 of 17)	intron (NM_013233, intron 5 of 17)	91150	NM_013233	27347	Hs.276271	NM_013233	ENSG00000198648	STK39	DCHT|PASK|SPAK	serine/threonine kinase 39	protein-coding
rs5919393	chrX	66825358	66825357	+	0	NA	intron (NM_001011645, intron 2 of 8)	intron (NM_001011645, intron 2 of 8)	60892	NM_001348061	367	Hs.76704	NM_000044	ENSG00000169083	AR	AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	androgen receptor	protein-coding
rs34925593	chr2	174234548	174234547	+	0	NA	TTS (NM_031942)	TTS (NM_031942)	14947	NM_031942	83879	Hs.470654	NM_031942	ENSG00000144354	CDCA7	ICF3|JPO1	cell division cycle associated 7	protein-coding
rs7075427	chr10	46104944	46104943	+	0	NA	Intergenic	AluSx1|SINE|Alu	-14589	NM_145021	220972	Hs.499489	NM_145021	ENSG00000165406	MARCH8	CMIR|MARCH-VIII|MIR|RNF178|c-MIR	membrane associated ring-CH-type finger 8	protein-coding
rs6557704	chr8	23470786	23470785	+	0	NA	Intergenic	Intergenic	69617	NM_001256339	4824	Hs.55999	NM_006167	ENSG00000167034	NKX3-1	BAPX2|NKX3|NKX3.1|NKX3A	NK3 homeobox 1	protein-coding
rs1482675	chr5	44368507	44368506	+	0	NA	intron (NM_004465, intron 1 of 2)	intron (NM_004465, intron 1 of 2)	-20328	NR_108034	101927075	Hs.617390	NR_108034	ENSG00000248464	FGF10-AS1	-	FGF10 antisense RNA 1	ncRNA
rs57588856	chr8	127836926	127836925	+	0	NA	Intergenic	Intergenic	-188474	NR_045262	100750225	Hs.571530	NR_045262	ENSG00000253438	PCAT1	PCA1|PCAT-1	prostate cancer associated transcript 1	ncRNA
rs68010938	chr11	47428210	47428209	+	0	NA	promoter-TSS (NR_134854)	promoter-TSS (NR_134854)	-618	NR_134854	91252	Hs.523664	NM_152264	ENSG00000165915	SLC39A13	EDSSPD3|LZT-Hs9|SCDEDS|ZIP13	solute carrier family 39 member 13	protein-coding
rs7591218	chr2	43637999	43637998	+	0	NA	intron (NM_001083953, intron 28 of 37)	L1ME1|LINE|L1	183648	NR_027251	100129726	Hs.194480	NM_178529	ENSG00000279873	LINC01126	-	long intergenic non-protein coding RNA 1126	ncRNA
rs138638958	chr1	204030363	204030362	+	0	NA	Intergenic	Intergenic	-11881	NM_005686	9580	Hs.201671	NM_005686	ENSG00000143842	SOX13	ICA12|Sox-13	SRY-box transcription factor 13	protein-coding
rs2038542	chr6	109295294	109295293	+	0	NA	3' UTR (NM_001286609, exon 17 of 17)	3' UTR (NM_001286609, exon 17 of 17)	34898	NM_001199934	27244	Hs.591336	NM_014454	ENSG00000080546	SESN1	PA26|SEST1	sestrin 1	protein-coding
rs1327653	chr13	51076441	51076440	+	0	NA	intron (NR_109974, intron 5 of 6)	intron (NR_109974, intron 5 of 6)	25145	NR_125753	103689915	Hs.722230	NR_125753	ENSG00000186047	DLEU1-AS1	LINC01308	DLEU1 antisense RNA 1	ncRNA
rs2814811	chr6	1670986	1670985	+	0	NA	intron (NM_001253846, intron 9 of 10)	intron (NM_001253846, intron 9 of 10)	60835	NM_001453	2296	Hs.348883	NM_001453	ENSG00000054598	FOXC1	ARA|ASGD3|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3	forkhead box C1	protein-coding
rs1283104	chr3	106962522	106962521	+	0	NA	intron (NR_028302, intron 1 of 3)	AluSz|SINE|Alu	2982	NR_028302	344595	Hs.543039	NR_028301	ENSG00000243701	DUBR	DUM|LINC00883|LINC0883	DPPA2 upstream binding RNA	ncRNA
rs5759167	chr22	43500213	43500212	+	0	NA	Intergenic	LTR13A|LTR|ERVK	-6544	NM_001197	638	Hs.475055	NM_001197	ENSG00000100290	BIK	BIP1|BP4|NBK	BCL2 interacting killer	protein-coding
rs684232	chr17	618966	618965	+	0	NA	promoter-TSS (NM_001366254)	promoter-TSS (NM_001366254)	-886	NM_018289	55275	Hs.461819	NM_018289	ENSG00000141252	VPS53	HCCS1|PCH2E|hVps53L|pp13624	VPS53 subunit of GARP complex	protein-coding
rs17565772	chr14	70756334	70756333	+	0	NA	Intergenic	Intergenic	-41815	NR_003951	145241	Hs.712468	NR_003951	ENSG00000235812	ADAM21P1	ADAM21P	ADAM metallopeptidase domain 21 pseudogene 1	pseudo
rs381331	chr20	62229990	62229989	+	0	NA	intron (NM_012384, intron 4 of 9)	intron (NM_012384, intron 4 of 9)	-24397	NM_001037335	85441	Hs.517180	NM_033405	ENSG00000130589	HELZ2	PDIP-1|PRIC285	helicase with zinc finger 2	protein-coding
rs870167	chr8	8498804	8498803	+	0	NA	Intergenic	Intergenic	-60644	NM_194284	137075	Hs.183617	NM_194284	ENSG00000253958	CLDN23	CLDNL|hCG1646163	claudin 23	protein-coding
rs11338635	chrX	51245277	51245276	+	0	NA	intron (NR_110654, intron 3 of 4)	intron (NR_110654, intron 3 of 4)	5017	NR_110654	102723426	Hs.584513	NR_110654		LINC01496	-	long intergenic non-protein coding RNA 1496	ncRNA
rs78378222	chr17	7571753	7571752	+	0	NA	TTS (NM_001126117)	TTS (NM_001126117)	6810	NM_001276699	7157	Hs.437460	NM_000546	ENSG00000141510	TP53	BCC7|BMFS5|LFS1|P53|TRP53	tumor protein p53	protein-coding
rs10412482	chr19	17228555	17228554	+	0	NA	intron (NM_004145, intron 2 of 39)	AluSx1|SINE|Alu	25509	NR_145784	109623483		NR_145784		SNORA118	-	small nucleolar RNA, H/ACA box 118	snoRNA
rs145053401	chr3	152011746	152011745	+	0	NA	intron (NM_001314057, intron 1 of 11)	intron (NM_001314057, intron 1 of 11)	-5058	NM_001363870	4154	Hs.201858	NM_021038	ENSG00000152601	MBNL1	EXP|MBNL	muscleblind like splicing regulator 1	protein-coding
rs77167534	chr2	173319931	173319930	+	0	NA	intron (NM_001079818, intron 1 of 24)	intron (NM_001079818, intron 1 of 24)	10820	NR_157573	101929947	Hs.710861	NR_157573		ITGA6-AS1	-	ITGA6 antisense RNA 1	ncRNA
rs11561564	chr15	40965045	40965044	+	0	NA	Intergenic	AluSx|SINE|Alu	22259	NR_040058	100505648	Hs.586876	NR_040058	ENSG00000245849	RAD51-AS1	TODRA	RAD51 antisense RNA 1	ncRNA
rs12621900	chr2	208118302	208118301	+	0	NA	intron (NR_110283, intron 1 of 3)	L2c|LINE|L2	739	NR_110283	101927865	Hs.574609	NR_110283		MYOSLID-AS1	-	MYOSLID antisense RNA 1	ncRNA
rs114810266	chr3	87399363	87399362	+	0	NA	Intergenic	Intergenic	-73628	NM_000306	5449	Hs.591654	NM_000306	ENSG00000064835	POU1F1	CPHD1|GHF-1|PIT1|POU1F1a|Pit-1	POU class 1 homeobox 1	protein-coding
rs74911261	chr11	108357138	108357137	+	0	NA	exon (NM_001363503, exon 3 of 7)	exon (NM_001363503, exon 3 of 7)	11974	NM_001363502	143888	Hs.83286	NM_153705	ENSG00000178202	POGLUT3	KDELC2	protein O-glucosyltransferase 3	protein-coding
rs138213197	chr17	46805706	46805705	+	0	NA	exon (NM_006361, exon 1 of 2)	exon (NM_006361, exon 1 of 2)	406	NM_006361	10481	Hs.66731	NM_006361	ENSG00000159184	HOXB13	HPC9|PSGD	homeobox B13	protein-coding
rs2271494	chr3	113300184	113300183	+	0	NA	intron (NM_001322295, intron 5 of 24)	intron (NM_001322295, intron 5 of 24)	-13540	NR_039648	100616476		NR_039648	ENSG00000265253	MIR4446	mir-4446	microRNA 4446	ncRNA
rs10845938	chr12	14416919	14416918	+	0	NA	Intergenic	MLT1I|LTR|ERVL-MaLR	-101648	NM_018179	55729	Hs.504856	NM_018179	ENSG00000171681	ATF7IP	AM|ATF-IP|MCAF|MCAF1|p621	activating transcription factor 7 interacting protein	protein-coding
rs59710626	chr19	38548095	38548094	+	0	NA	intron (NM_015073, intron 2 of 21)	intron (NM_015073, intron 2 of 21)	-105642	NR_145800	109623473		NR_145800		SNORD152	-	small nucleolar RNA, C/D box 152	snoRNA
rs10090154	chr8	128532138	128532137	+	0	NA	Intergenic	L1MD1|LINE|L1	-37753	NR_024393	727677	Hs.673248	NR_024393	ENSG00000246228	CASC8	CARLO1|CARLo-1|LINC00860	cancer susceptibility 8	ncRNA
rs150184171	chr6	134292718	134292717	+	0	NA	intron (NM_004865, intron 1 of 6)	L1MA6|LINE|L1	18355	NM_004865	9519	Hs.486507	NM_004865	ENSG00000028839	TBPL1	MGC:8389|MGC:9620|STUD|TLF|TLP|TRF2	TATA-box binding protein like 1	protein-coding
rs10486567	chr7	27976564	27976563	+	0	NA	intron (NM_175061, intron 2 of 4)	intron (NM_175061, intron 2 of 4)	196849	NM_001206902	8887	Hs.34576	NM_006024	ENSG00000106052	TAX1BP1	CALCOCO3|T6BP|TXBP151	Tax1 binding protein 1	protein-coding
rs141811748	chr8	25894202	25894201	+	0	NA	intron (NM_022659, intron 5 of 15)	intron (NM_022659, intron 5 of 15)	8728	NM_022659	64641	Hs.491292	NM_022659	ENSG00000221818	EBF2	COE2|EBF-2|O/E-3|OE-3	EBF transcription factor 2	protein-coding
rs4451364	chr9	109532735	109532734	+	0	NA	Intergenic	MER33|DNA|hAT-Charlie	-92713	NM_001347997	58499	Hs.370379	NM_021224	ENSG00000148143	ZNF462	ZFPIP|Zfp462	zinc finger protein 462	protein-coding
rs2165108	chr2	111861994	111861993	+	0	NA	intron (NR_122074, intron 2 of 3)	L1MD1|LINE|L1	11172	NR_122074	400997	Hs.652337	NR_122074	ENSG00000204581	ACOXL-AS1	-	ACOXL antisense RNA 1	ncRNA
rs10122495	chr9	34049780	34049779	+	0	NA	promoter-TSS (NM_018449)	promoter-TSS (NM_018449)	-582	NM_001370059	55833	Hs.493739	NM_018449	ENSG00000137073	UBAP2	UBAP-2	ubiquitin associated protein 2	protein-coding
rs12781100	chr10	838637	838636	+	0	NA	Intergenic	AluJb|SINE|Alu	-103028	NM_014974	22982	Hs.432397	NM_014974	ENSG00000151240	DIP2C	KIAA0934	disco interacting protein 2 homolog C	protein-coding
rs1935581	chr10	90195150	90195149	+	0	NA	intron (NM_001031709, intron 4 of 6)	intron (NM_001031709, intron 4 of 6)	147926	NM_001031709	55328	Hs.149849	NM_018363	ENSG00000184719	RNLS	C10orf59|RENALASE	renalase, FAD dependent amine oxidase	protein-coding
rs3918298	chr11	69463274	69463273	+	0	NA	intron (NM_053056, intron 4 of 4)	intron (NM_053056, intron 4 of 4)	7400	NM_053056	595	Hs.523852	NM_053056	ENSG00000110092	CCND1	BCL1|D11S287E|PRAD1|U21B31	cyclin D1	protein-coding
rs184104770	chr1	155690187	155690186	+	0	NA	intron (NM_001199850, intron 3 of 11)	AluSp|SINE|Alu	-25373	NR_024117	100129405	Hs.656361	NR_024117		MSTO2P	MSTO2	misato family member 2, pseudogene	pseudo
rs4075646	chr1	167135942	167135941	+	0	NA	Intergenic	Intergenic	29101	NR_110811	101928484	Hs.568496	NR_110811		LINC01363	RBSG4	long intergenic non-protein coding RNA 1363	ncRNA
rs80237341	chr1	157119916	157119915	+	0	NA	Intergenic	MLT1H1|LTR|ERVL-MaLR	-11532	NM_005240	2117	Hs.105636	NM_005240	ENSG00000117036	ETV3	METS|PE-1|PE1	ETS variant 3	protein-coding
rs533722308	chr18	60961194	60961193	+	0	NA	intron (NM_000633, intron 2 of 2)	intron (NM_000633, intron 2 of 2)	25420	NM_000633	596	Hs.150749	NM_000633	ENSG00000171791	BCL2	Bcl-2|PPP1R50	BCL2 apoptosis regulator	protein-coding
rs13091518	chr3	70796697	70796696	+	0	NA	Intergenic	MIRc|SINE|MIR	317379	NM_001349344	27086	Hs.59368	NM_032682	ENSG00000114861	FOXP1	12CC4|HSPC215|MFH|QRF1|hFKH1B	forkhead box P1	protein-coding
rs4901313	chr14	53387110	53387109	+	0	NA	intron (NM_001135000, intron 2 of 14)	AluJb|SINE|Alu	30659	NM_006832	10979	Hs.509343	NM_006832	ENSG00000073712	FERMT2	KIND2|MIG2|PLEKHC1|UNC112|UNC112B|mig-2	fermitin family member 2	protein-coding
rs11717887	chr3	172381778	172381777	+	0	NA	intron (NM_020792, intron 1 of 4)	L1PA6|LINE|L1	47080	NM_020792	57552	Hs.444099	NM_020792	ENSG00000144959	NCEH1	AADACL1|NCEH	neutral cholesterol ester hydrolase 1	protein-coding
rs10788167	chr10	123054019	123054018	+	0	NA	Intergenic	Intergenic	236810	NM_001320654	2263	Hs.533683	NM_000141	ENSG00000066468	FGFR2	BBDS|BEK|BFR-1|CD332|CEK3|CFD1|ECT1|JWS|K-SAM|KGFR|TK14|TK25	fibroblast growth factor receptor 2	protein-coding
rs71599622	chr5	14372363	14372362	+	0	NA	intron (NR_134469, intron 18 of 56)	intron (NR_134469, intron 18 of 56)	-91730	NR_145815	109623458		NR_145815		SNORD170	-	small nucleolar RNA, C/D box 170	snoRNA
rs17501397	chr19	32168344	32168343	+	0	NA	Intergenic	Intergenic	85156	NM_001205273	100507527	Hs.432564	NM_001205273		THEG5	-	testis highly expressed protein 5	protein-coding
rs11817544	chr10	80237000	80236999	+	0	NA	Intergenic	Intergenic	209900	NR_073447	414243	Hs.55047	NR_073447	ENSG00000230417	LINC00595	C10orf101	long intergenic non-protein coding RNA 595	ncRNA
rs1457063	chr3	137562824	137562823	+	0	NA	Intergenic	Intergenic	72070	NR_109987	100507274	Hs.360349	NR_109987	ENSG00000239513	LINC01210	-	long intergenic non-protein coding RNA 1210	ncRNA
rs28441558	chr17	7803119	7803118	+	0	NA	intron (NM_001005271, intron 15 of 39)	intron (NM_001005271, intron 15 of 39)	-6323	NR_003000	677763		NR_003000	ENSG00000252835	SCARNA21	ACA68|SCARNA21A	small Cajal body-specific RNA 21	ncRNA
rs17035310	chr4	106064755	106064754	+	0	NA	Intergenic	Intergenic	-2278	NM_017628	54790	Hs.367639	NM_017628	ENSG00000168769	TET2	KIAA1546|MDS	tet methylcytosine dioxygenase 2	protein-coding
rs2292884	chr2	238443227	238443226	+	0	NA	exon (NM_024101, exon 9 of 16)	exon (NM_024101, exon 9 of 16)	23652	NR_106869	102465486		NR_106869	ENSG00000277842	MIR6811	hsa-mir-6811	microRNA 6811	ncRNA
rs11467	chr8	38644915	38644914	+	0	NA	promoter-TSS (NM_001352798)	promoter-TSS (NM_001352798)	160	NM_001352800	6867	Hs.279245	NM_006283	ENSG00000147526	TACC1	Ga55	transforming acidic coiled-coil containing protein 1	protein-coding
rs7011138	chr8	127922201	127922200	+	0	NA	Intergenic	Intergenic	-103199	NR_045262	100750225	Hs.571530	NR_045262	ENSG00000253438	PCAT1	PCA1|PCAT-1	prostate cancer associated transcript 1	ncRNA
rs9625483	chr22	28888940	28888939	+	0	NA	intron (NM_001145418, intron 2 of 22)	L1MC5|LINE|L1	33082	NR_106713	102466081		NR_106713	ENSG00000276162	MIR5739	hsa-mir-5739	microRNA 5739	ncRNA
rs7336001	chr13	73995878	73995877	+	0	NA	Intergenic	AmnSINE1|SINE|Deu	-142504	NR_047009	100874155	Hs.672679	NR_047009		LINC00392	-	long intergenic non-protein coding RNA 392	ncRNA
rs2066827	chr12	12871100	12871099	+	0	NA	exon (NM_004064, exon 1 of 3)	exon (NM_004064, exon 1 of 3)	895	NM_004064	1027	Hs.238990	NM_004064	ENSG00000111276	CDKN1B	CDKN4|KIP1|MEN1B|MEN4|P27KIP1	cyclin dependent kinase inhibitor 1B	protein-coding
rs11452686	chr7	20414111	20414110	+	0	NA	intron (NM_002214, intron 3 of 13)	intron (NM_002214, intron 3 of 13)	-42725	NR_110119	101927811	Hs.285724	NR_110119	ENSG00000271133	LOC101927811	-	uncharacterized LOC101927811	ncRNA
rs12701838	chr7	40877474	40877473	+	0	NA	intron (NM_024728, intron 14 of 14)	AluSq2|SINE|Alu	142064	NR_110831	101928744	Hs.639767	NR_110831	ENSG00000232458	LINC01450	-	long intergenic non-protein coding RNA 1450	ncRNA
rs13380763	chr16	54678306	54678305	+	0	NA	Intergenic	Intergenic	203840	NR_134971	101927480	Hs.499208	NR_134971	ENSG00000245694	LOC101927480	-	uncharacterized LOC101927480	ncRNA
rs34584683	chr22	40499108	40499107	+	0	NA	intron (NM_001024843, intron 1 of 23)	AluSc5|SINE|Alu	58286	NM_001024843	23112	Hs.372082	NM_015088	ENSG00000100354	TNRC6B	-	trinucleotide repeat containing adaptor 6B	protein-coding
rs77482050	chr2	242139601	242139600	+	0	NA	exon (NM_001370694, exon 6 of 25)	exon (NM_001370694, exon 6 of 25)	11508	NM_001370694	50636	Hs.163909	NM_001001666	ENSG00000146205	ANO7	D-TMPP|DTMPP|IPCA-5|IPCA5|NGEP|PCANAP5|PCANAP5L|TMEM16G	anoctamin 7	protein-coding
rs4245739	chr1	204518843	204518842	+	0	NA	3' UTR (NM_001278516, exon 10 of 10)	3' UTR (NM_001278516, exon 10 of 10)	33308	NM_002393	4194	Hs.497492	NM_002393	ENSG00000198625	MDM4	HDMX|MDMX|MRP1	MDM4 regulator of p53	protein-coding
rs62407547	chr6	30216713	30216712	+	0	NA	intron (NR_052012, intron 2 of 4)	L1PA5|LINE|L1	-10627	NR_027822	3139	Hs.656020	NR_027822	ENSG00000243753	HLA-L	HLA-92|HLA92|HLAL	major histocompatibility complex, class I, L (pseudogene)	pseudo
rs142727307	chr9	82090724	82090723	+	0	NA	Intergenic	Intergenic	-95965	NM_001282749	7091	Hs.444213	NM_007005	ENSG00000106829	TLE4	BCE-1|BCE1|E(spI)|E(spl)|ESG|ESG4|GRG4|Grg-4	TLE family member 4, transcriptional corepressor	protein-coding
rs2093202	chr14	68923909	68923908	+	0	NA	intron (NM_001321817, intron 10 of 11)	AluSz6|SINE|Alu	171596	NR_135816	100996664		NR_135816		LOC100996664	-	uncharacterized LOC100996664	ncRNA
rs4727386	chr7	97688441	97688440	+	0	NA	Intergenic	(GAAA)n|Simple_repeat|Simple_repeat	-47734	NM_014916	22853	Hs.444179	NM_014916	ENSG00000164715	LMTK2	AATYK2|BREK|KPI-2|KPI2|LMR2|PPP1R100|cprk|hBREK	lemur tyrosine kinase 2	protein-coding
rs12412705	chr10	80835999	80835998	+	0	NA	intron (NM_020338, intron 1 of 24)	MIR3|SINE|MIR	7275	NM_020338	57178	Hs.193118	NM_020338	ENSG00000108175	ZMIZ1	MIZ|RAI17|TRAFIP10|ZIMP10	zinc finger MIZ-type containing 1	protein-coding
rs17321482	chrX	11482635	11482634	+	0	NA	intron (NR_109776, intron 1 of 14)	intron (NR_109776, intron 1 of 14)	-36696	NM_001287242	395	Hs.435291	NM_001174	ENSG00000047648	ARHGAP6	RHOGAP6|RHOGAPX-1	Rho GTPase activating protein 6	protein-coding
rs6853490	chr4	95544719	95544718	+	0	NA	intron (NM_001256428, intron 7 of 11)	L2c|LINE|L2	133966	NR_121610	100507012	Hs.128612	NR_121610		BMPR1B-DT	BMPR1B-AS1	BMPR1B divergent transcript	ncRNA
rs4975758	chr5	1891175	1891174	+	0	NA	intron (NR_109912, intron 2 of 3)	intron (NR_109912, intron 2 of 3)	3729	NR_109912	101929081	Hs.519180	NR_109912	ENSG00000249326	CTD-2194D22.4	-	uncharacterized LOC101929081	ncRNA
rs113925811	chr12	53308933	53308932	+	0	NA	intron (NM_001256293, intron 1 of 8)	AluYf4|SINE|Alu	-10072	NM_002273	3856	Hs.533782	NM_002273	ENSG00000170421	KRT8	CARD2|CK-8|CK8|CYK8|K2C8|K8|KO	keratin 8	protein-coding
rs6983267	chr8	128413306	128413305	+	0	NA	non-coding (NR_109834, exon 1 of 1)	non-coding (NR_109834, exon 1 of 1)	661	NR_109834	101805488	Hs.745578	NR_109834	ENSG00000280997	CCAT2	LINC00873|NCCP1	colon cancer associated transcript 2	ncRNA
rs11568818	chr11	102401662	102401661	+	0	NA	promoter-TSS (NM_002423)	promoter-TSS (NM_002423)	-183	NM_002423	4316	Hs.2256	NM_002423	ENSG00000137673	MMP7	MMP-7|MPSL1|PUMP-1	matrix metallopeptidase 7	protein-coding
rs34680713	chr3	49621719	49621718	+	0	NA	intron (NM_003458, intron 1 of 11)	L1MB4|LINE|L1	29808	NM_003458	8927	Hs.194684	NM_003458	ENSG00000164061	BSN	ZNF231	bassoon presynaptic cytomatrix protein	protein-coding
rs6738169	chr2	43064556	43064555	+	0	NA	Intergenic	MLT1G-int|LTR|ERVL-MaLR	-44832	NM_012205	23498	Hs.368805	NM_012205	ENSG00000162882	HAAO	3-HAO|HAO|VCRL1|h3HAO	3-hydroxyanthranilate 3,4-dioxygenase	protein-coding
rs11849126	chr14	38144593	38144592	+	0	NA	intron (NM_001310135, intron 3 of 32)	L1MB5|LINE|L1	79758	NM_001310135	319089	Hs.659936	NM_001007795	ENSG00000139865	TTC6	C14orf25|NCRNA00291	tetratricopeptide repeat domain 6	protein-coding
rs767127	chr14	69134265	69134264	+	0	NA	intron (NM_001321818, intron 10 of 10)	MLT2C2|LTR|ERVL	-38760	NR_135816	100996664		NR_135816		LOC100996664	-	uncharacterized LOC100996664	ncRNA
rs4795646	chr17	30092899	30092898	+	0	NA	Intergenic	HERV9-int|LTR|ERV1	93083	NM_001330176	55352	Hs.462729	NM_018405	ENSG00000172301	COPRS	C17orf79|COPR5|HSA272196|TTP1	coordinator of PRMT5 and differentiation stimulator	protein-coding
rs10206072	chr2	121373467	121373466	+	0	NA	Intergenic	MIRc|SINE|MIR	-119978	NM_001371271								
rs13215045	chr6	153447517	153447516	+	0	NA	intron (NM_012419, intron 1 of 4)	intron (NM_012419, intron 1 of 4)	4901	NM_012419	26575	Hs.166313	NM_012419	ENSG00000091844	RGS17	RGS-17|RGSZ2|hRGS17	regulator of G protein signaling 17	protein-coding
rs72725854	chr8	128074816	128074815	+	0	NA	Intergenic	MLT1B|LTR|ERVL-MaLR	-17304	NR_109833	101867536	Hs.652970	NR_109833	ENSG00000282961	PRNCR1	CARLo-3|PCAT8	prostate cancer associated non-coding RNA 1	ncRNA
rs79133931	chr14	64687927	64687926	+	0	NA	intron (NM_015180, intron 110 of 114)	intron (NM_015180, intron 110 of 114)	5254	NM_182910	23224	Hs.745014	NM_015180	ENSG00000054654	SYNE2	EDMD5|KASH2|NUA|NUANCE|Nesp2|Nesprin-2|SYNE-2|TROPH	spectrin repeat containing nuclear envelope protein 2	protein-coding
rs817872	chr9	110144888	110144887	+	0	NA	Intergenic	AluSx|SINE|Alu	83979	NR_121581	101928720	Hs.125496	NR_121581		LINC01509	PRCAT37	long intergenic non-protein coding RNA 1509	ncRNA
rs7295014	chr12	133067990	133067989	+	0	NA	intron (NM_001142641, intron 1 of 16)	intron (NM_001142641, intron 1 of 16)	1252	NM_001142641	57666	Hs.411138	NM_001142641	ENSG00000112787	FBRSL1	-	fibrosin like 1	protein-coding
rs960417	chrX	9811096	9811095	+	0	NA	intron (NM_001649, intron 1 of 9)	intron (NM_001649, intron 1 of 9)	56626	NM_001649	357	Hs.567236	NM_001649	ENSG00000146950	SHROOM2	APXL|HSAPXL	shroom family member 2	protein-coding
rs74001374	chr2	238411294	238411293	+	0	NA	intron (NR_104019, intron 2 of 16)	intron (NR_104019, intron 2 of 16)	-8281	NR_106869	102465486		NR_106869	ENSG00000277842	MIR6811	hsa-mir-6811	microRNA 6811	ncRNA
rs4842687	chr12	90156378	90156377	+	0	NA	Intergenic	Intergenic	-53234	NM_001366530	490	Hs.506276	NM_001682	ENSG00000070961	ATP2B1	PMCA1|PMCA1kb	ATPase plasma membrane Ca2+ transporting 1	protein-coding
